Data da Venda,Produto,Preço,Quantidade Vendida,Valor Total da Venda,Método de Pagamento,Status da Venda
2024-12-01,Produto A,25.00,2,50,Cartão de Crédito,Concluída
2024-12-02,Produto B,100.00,1,100,Boleto,Concluída
2024-12-03,Produto A,25.00,1,25,Pix,Pendente
2024-12-04,Produto C,50.00,3,150,Cartão de Crédito,Concluída
2024-12-05,Produto D,30.00,2,60,Boleto,Pendente
2024-12-06,Produto E,40.00,5,200,Pix,Concluída
2024-12-07,Produto F,30.00,1,30,Cartão de Crédito,Concluída
2024-12-08,Produto G,30.00,3,90,Boleto,Concluída
2024-12-09,Produto H,30.00,4,120,Pix,Pendente
2024-12-10,Produto I,20.00,2,40,Cartão de Crédito,Concluída
2024-12-11,Produto J,25.00,3,75,Boleto,Concluída
2024-12-12,Produto K,25.00,1,25,Pix,Concluída
2024-12-13,Produto L,50.00,5,250,Cartão de Crédito,Concluída
2024-12-14,Produto M,25.00,2,50,Boleto,Pendente
2024-12-15,Produto N,40.00,1,40,Pix,Concluída
2024-12-16,Produto O,40.00,3,120,Cartão de Crédito,Concluída
2024-12-17,Produto P,40.00,4,160,Boleto,Pendente
2024-12-18,Produto Q,30.00,2,60,Pix,Concluída
2024-12-19,Produto R,25.00,5,125,Cartão de Crédito,Concluída
2024-12-20,Produto S,20.00,1,20,Boleto,Pendente
2024-12-21,Produto T,30.00,3,90,Pix,Concluída
2024-12-22,Produto U,20.00,2,40,Cartão de Crédito,Concluída
2024-12-23,Produto V,35.00,1,35,Boleto,Concluída
2024-12-24,Produto W,30.00,2,60,Pix,Pendente
2024-12-25,Produto X,40.00,5,200,Cartão de Crédito,Concluída
2024-12-26,Produto Y,50.00,1,50,Boleto,Pendente
2024-12-27,Produto Z,30.00,3,90,Pix,Concluída
2024-12-28,Produto AA,35.00,2,70,Cartão de Crédito,Concluída
2024-12-29,Produto AB,30.00,4,120,Boleto,Concluída
2024-12-30,Produto AC,30.00,1,30,Pix,Pendente
2024-12-31,Produto AD,50.00,3,150,Cartão de Crédito,Concluída
2025-01-01,Produto AE,25.00,2,50,Boleto,Concluída
2025-01-02,Produto AF,25.00,3,75,Pix,Concluída
2025-01-03,Produto AG,25.00,4,100,Cartão de Crédito,Concluída
2025-01-04,Produto AH,20.00,2,40,Boleto,Pendente
